seed,strategy,client,client_name,acc,f1,mcc,auc,ece,brier,precision,recall
1,local_only,2,Hospital_C (COVID-19 X-Ray),0.9502362204724408,0.9541361462352668,0.9241837619144624,0.9927169099943468,0.0008107011149248,5.779076099395752,0.9507189409366916,0.9578685422787244
2,local_only,0,Hospital_A (Brain-Tumor MRI),0.964375,0.9639190798136048,0.9532465055815544,0.9841489583333332,0.0577765338546784,0.0639549124178334,0.9658418594336058,0.964375
2,local_only,1,Hospital_B (Breast Ultrasound),0.8974358974358975,0.8869201427340961,0.8274513445301437,0.960568489728266,0.0322516442635441,0.1664011300237009,0.8765632515632515,0.8990550667970023
2,local_only,2,Hospital_C (COVID-19 X-Ray),0.9521259842519684,0.9599678757117576,0.9267861112715948,0.9882296387046547,0.0514403699248548,0.0809913259227638,0.9586825135688916,0.9613563324195624
0,fedua,0,Hospital_A (Brain-Tumor MRI),0.96375,0.963231030418984,0.9526381583152904,0.9869921875,0.0002184765413403,5.9721879959106445,0.9657846517995388,0.96375
0,fedua,1,Hospital_B (Breast Ultrasound),0.8290598290598291,0.8058203948467563,0.7275198129594092,0.9424703468533028,0.0202374673551983,3.787374496459961,0.7952380952380952,0.8295047246660149
0,fedua,2,Hospital_C (COVID-19 X-Ray),0.9584251968503936,0.9639597857336896,0.93635807519096,0.9913472711216024,0.0024945278430548,6.53052282333374,0.9665247780889036,0.9614425389408624
1,fedua,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9620181474622992,0.9507812491135256,0.9922859375,0.0544292796484781,0.0702509295317455,0.9640054456459696,0.9625
1,fedua,1,Hospital_B (Breast Ultrasound),0.7948717948717948,0.7857416803776957,0.6885682343963336,0.9162561315626112,0.0985674490427713,0.3304327196908792,0.7993864212351607,0.8076923076923078
1,fedua,2,Hospital_C (COVID-19 X-Ray),0.9411023622047244,0.9410301412359192,0.9100391172217324,0.9884323321635022,0.0606197412981983,0.0973303740474281,0.9405951362387532,0.9414731216288844
2,fedua,0,Hospital_A (Brain-Tumor MRI),0.956875,0.9564453089661308,0.9431427349944468,0.9860067708333334,0.0492986226089332,0.0736983345876123,0.9579759491610362,0.956875
2,fedua,1,Hospital_B (Breast Ultrasound),0.8461538461538461,0.8461538461538461,0.7633691610267934,0.962005406773406,0.0817502935725925,0.2266713411656715,0.8465059956288026,0.8685402411208862
2,fedua,2,Hospital_C (COVID-19 X-Ray),0.8941732283464567,0.8710347038917436,0.8474644006823355,0.989416559989044,0.0427117544932057,0.1623672080643804,0.8422194765624995,0.9332194499185018
0,centralized,0,Hospital_A (Brain-Tumor MRI),0.965,0.9646095861148056,0.9541631203157668,0.98400625,0.0,14.782143592834473,0.966837845377042,0.965
0,centralized,1,Hospital_B (Breast Ultrasound),0.8290598290598291,0.8251025255914528,0.7024502012069503,0.9544009546040148,0.0,16.082714080810547,0.839452495974235,0.8128217660475725
0,centralized,2,Hospital_C (COVID-19 X-Ray),0.9637795275590552,0.9670401516704452,0.9445973993530784,0.9943450899950032,0.0,14.173541069030762,0.972065197211474,0.9623524211205176
0,centralized,pooled,Pooled (11 cls),0.9609566639411284,0.9274460479923056,0.9528887904076572,0.9944344939296303,0.0,14.418252944946287,0.9339972416615244,0.9225340893295262
1,centralized,0,Hospital_A (Brain-Tumor MRI),0.963125,0.9625027416527956,0.951875513470678,0.9817348958333334,0.0599906310869534,0.069851703015248,0.9652282275244848,0.963125
1,centralized,1,Hospital_B (Breast Ultrasound),0.8888888888888888,0.8701835748792272,0.8172346154944381,0.9795548494515236,0.0479545242049445,0.1672693729532135,0.8626126126126126,0.8818910256410257
1,centralized,2,Hospital_C (COVID-19 X-Ray),0.955275590551181,0.9568151269500538,0.9315777292359462,0.9945264153804284,0.0754713339753874,0.0776197615343312,0.9639522767500724,0.9504733767801452
1,centralized,pooled,Pooled (11 cls),0.9562551103843008,0.9352565635499164,0.9472318175190684,0.9928588023247724,0.0660966118032354,0.0772232183833656,0.9367781686305516,0.9363696894585144
2,centralized,0,Hospital_A (Brain-Tumor MRI),0.96125,0.9604905756526216,0.9495021381556924,0.9882135416666666,0.0636523456316805,0.0716349840616979,0.9634856151549452,0.96125
2,centralized,1,Hospital_B (Breast Ultrasound),0.905982905982906,0.8902347346459553,0.837162241683996,0.9765099429324992,0.0802159583940256,0.1436167570015025,0.9012931337409515,0.8808732486151841
2,centralized,2,Hospital_C (COVID-19 X-Ray),0.9511811023622048,0.954544042951141,0.9251810926383056,0.9937819430736434,0.0712214491525558,0.0816182273744672,0.9628931051365516,0.9469247257810046
2,centralized,pooled,Pooled (11 cls),0.9533932951757972,0.9391675162139014,0.9437347966415814,0.9933445022760448,0.063909924534578,0.0798358558834476,0.9463085711262584,0.934119877179052
