client,correct,entropy,uncertainty
Hospital_A (Brain-Tumor MRI),1,0.469618,0.11080766
Hospital_A (Brain-Tumor MRI),1,0.43591294,0.100598335
Hospital_A (Brain-Tumor MRI),1,0.48383164,0.11522043
Hospital_A (Brain-Tumor MRI),1,1.2118797,0.5624176
Hospital_A (Brain-Tumor MRI),1,0.75584215,0.25178814
Hospital_A (Brain-Tumor MRI),1,0.44609335,0.10344046
Hospital_A (Brain-Tumor MRI),0,0.8495956,0.32636833
Hospital_A (Brain-Tumor MRI),1,0.6238786,0.16429925
Hospital_A (Brain-Tumor MRI),1,0.53223574,0.13158911
Hospital_A (Brain-Tumor MRI),1,0.50692654,0.12279862
Hospital_A (Brain-Tumor MRI),1,0.97935283,0.35619432
Hospital_A (Brain-Tumor MRI),0,0.48666334,0.116556704
Hospital_A (Brain-Tumor MRI),0,0.63394475,0.18282193
Hospital_A (Brain-Tumor MRI),1,0.66761047,0.18062747
Hospital_A (Brain-Tumor MRI),1,0.8035438,0.24210143
Hospital_A (Brain-Tumor MRI),1,0.91684115,0.32824022
Hospital_A (Brain-Tumor MRI),1,0.653027,0.17494851
Hospital_A (Brain-Tumor MRI),0,0.88867813,0.35153067
Hospital_A (Brain-Tumor MRI),0,0.5702375,0.15390164
Hospital_A (Brain-Tumor MRI),1,0.42663598,0.09759253
Hospital_A (Brain-Tumor MRI),1,0.5417489,0.13424772
Hospital_A (Brain-Tumor MRI),0,1.1456205,0.45414692
Hospital_A (Brain-Tumor MRI),1,0.9978479,0.37035912
Hospital_A (Brain-Tumor MRI),1,0.40708828,0.091718435
Hospital_A (Brain-Tumor MRI),0,0.9158107,0.34119338
Hospital_A (Brain-Tumor MRI),1,0.7449847,0.21902359
Hospital_A (Brain-Tumor MRI),0,0.34941435,0.07609737
Hospital_A (Brain-Tumor MRI),1,1.273066,0.5360913
Hospital_A (Brain-Tumor MRI),1,0.51425374,0.12552905
Hospital_A (Brain-Tumor MRI),0,1.1037817,0.572435
Hospital_A (Brain-Tumor MRI),1,0.62207985,0.16374946
Hospital_A (Brain-Tumor MRI),1,0.63401055,0.16973788
Hospital_A (Brain-Tumor MRI),1,1.0913495,0.5422048
Hospital_A (Brain-Tumor MRI),0,0.5104995,0.12456691
Hospital_A (Brain-Tumor MRI),1,0.46464685,0.10959107
Hospital_A (Brain-Tumor MRI),1,0.6160366,0.1668843
Hospital_A (Brain-Tumor MRI),1,0.51283824,0.12497532
Hospital_A (Brain-Tumor MRI),0,1.1556586,0.5484507
Hospital_A (Brain-Tumor MRI),1,0.68575543,0.18816733
Hospital_A (Brain-Tumor MRI),1,0.48502582,0.11572009
Hospital_A (Brain-Tumor MRI),1,0.49112538,0.1176483
Hospital_A (Brain-Tumor MRI),1,0.60126054,0.16431886
Hospital_A (Brain-Tumor MRI),1,0.9474277,0.31651318
Hospital_A (Brain-Tumor MRI),1,0.37848774,0.08341473
Hospital_A (Brain-Tumor MRI),0,1.0355875,0.36222953
Hospital_A (Brain-Tumor MRI),1,0.39205587,0.087281525
Hospital_A (Brain-Tumor MRI),0,0.5409607,0.14044893
Hospital_A (Brain-Tumor MRI),0,1.0767405,0.4365313
Hospital_A (Brain-Tumor MRI),1,0.878758,0.2759183
Hospital_A (Brain-Tumor MRI),0,0.8534957,0.25967342
Hospital_A (Brain-Tumor MRI),1,0.49555886,0.11903179
Hospital_A (Brain-Tumor MRI),1,0.4691435,0.110820055
Hospital_A (Brain-Tumor MRI),0,0.7502275,0.2225166
Hospital_A (Brain-Tumor MRI),1,1.2017862,0.47938132
Hospital_A (Brain-Tumor MRI),1,0.44587463,0.10350579
Hospital_A (Brain-Tumor MRI),1,0.45922345,0.10750836
Hospital_A (Brain-Tumor MRI),0,0.43449295,0.101113975
Hospital_A (Brain-Tumor MRI),0,0.95206046,0.3846146
Hospital_A (Brain-Tumor MRI),1,0.4234033,0.09677571
Hospital_A (Brain-Tumor MRI),0,0.909727,0.33326656
Hospital_A (Brain-Tumor MRI),1,0.53722817,0.13301241
Hospital_A (Brain-Tumor MRI),0,0.505316,0.12441456
Hospital_A (Brain-Tumor MRI),1,0.73565733,0.23641461
Hospital_A (Brain-Tumor MRI),1,0.4106997,0.093015075
Hospital_A (Brain-Tumor MRI),0,0.46052992,0.10904068
Hospital_A (Brain-Tumor MRI),1,0.50216186,0.12291515
Hospital_A (Brain-Tumor MRI),1,0.5423616,0.13535625
Hospital_A (Brain-Tumor MRI),0,0.34546435,0.075041115
Hospital_A (Brain-Tumor MRI),1,0.7025422,0.20005792
Hospital_A (Brain-Tumor MRI),0,0.43973875,0.10181594
Hospital_A (Brain-Tumor MRI),0,0.36533406,0.08008993
Hospital_A (Brain-Tumor MRI),1,0.370654,0.081205726
Hospital_A (Brain-Tumor MRI),0,0.34947616,0.077423215
Hospital_A (Brain-Tumor MRI),1,0.4847647,0.11683059
Hospital_A (Brain-Tumor MRI),0,0.8983737,0.37822187
Hospital_A (Brain-Tumor MRI),1,0.47558612,0.11316806
Hospital_A (Brain-Tumor MRI),1,0.52140075,0.12882489
Hospital_A (Brain-Tumor MRI),1,0.67371833,0.18413097
Hospital_A (Brain-Tumor MRI),0,0.36747304,0.08055788
Hospital_A (Brain-Tumor MRI),1,0.4664384,0.11017436
Hospital_A (Brain-Tumor MRI),1,0.36456913,0.07943171
Hospital_A (Brain-Tumor MRI),1,0.382381,0.08451742
Hospital_A (Brain-Tumor MRI),1,0.41653278,0.094480515
Hospital_A (Brain-Tumor MRI),1,0.7032595,0.19548798
Hospital_A (Brain-Tumor MRI),1,0.6218527,0.1634466
Hospital_A (Brain-Tumor MRI),1,0.4319029,0.09928119
Hospital_A (Brain-Tumor MRI),0,0.46235,0.10936457
Hospital_A (Brain-Tumor MRI),1,0.82699406,0.25499332
Hospital_A (Brain-Tumor MRI),1,0.4168175,0.09464353
Hospital_A (Brain-Tumor MRI),1,0.52755994,0.1295479
